pop	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18
SW_US	-0.235877012402775	-0.167759287965321	-0.239408944455225	-0.0185636123203683	-0.0795817012858388	0.226429315894769	-0.0422746431790374	-0.13146312363287	0.697252127640451	-0.132506570966451	-0.0499521377090715	0.000783371483362805	-0.176949243715636	-0.0203329121319843	-0.157270972710554	-0.00801786694436755	0.04346065398349	0.261562274392152
SW_US	-0.244374506094682	-0.165939352713079	-0.139168831355694	0.0117323903225789	0.0443497173611261	-0.094765185870589	0.0643231545080477	0.0920185267308631	0.29095945683809	-0.334504921881687	0.0856442409394588	-0.173624320249077	0.368208821377725	0.0839992941674664	0.307995807195692	-0.0662041569427096	-0.0858364932491833	-0.348821162300044
SW_US	-0.24282704289555	-0.167367332936386	-0.226746390859071	0.0464712938343353	-0.0122437104461532	0.0511439329704638	0.0271803703801045	-0.125218378549999	-0.300054422834672	0.039155331882567	-0.00890043731853065	0.00982427453889452	-0.0764871934422665	-0.00237163937353098	0.22302350983039	0.444551584082678	-0.198223103526217	-0.189865166580271
SW_US	-0.253255410939295	-0.0604161496476038	-0.190107357833315	0.143254865012145	-0.000195530291556624	0.140181926431859	-0.0421497523811766	0.0355545094398776	-0.264236822233565	0.0406243726328702	0.0414018281309785	0.0813923079767596	-0.0904940640758616	-0.0625597650532669	-0.115384619418299	-0.137982213545175	-0.0561595562848181	0.145225360147119
SW_US	-0.2474918615214	-0.0944778360034916	-0.174658642335056	0.128425767539219	0.0180606266456872	0.0315474066807942	0.00918972322518791	0.0489799411393426	-0.286652487697494	-0.0367475917767506	0.0855828652074891	-0.0708483648904214	0.0490047172219599	0.0969095672303071	0.152587030313632	0.10536412055131	-0.156440714882106	0.433070764503351
SW_US	-0.298260656229791	-0.0633176988004626	-0.188831666809163	0.159201174264124	0.108167109778375	-0.00270692090101224	0.131252252158459	-0.105811863453682	-0.23321924555806	0.0640189278877212	-0.0810644232670908	0.00597026897611324	-0.00900432461009757	-0.139454566058091	-0.419196466278459	-0.336850507943693	0.356196678663199	-0.274001067583307
Mex_Highland	-0.0503686738766251	-0.00551792125272691	0.129494940827494	0.0679815948195626	-0.131760289362915	0.03400554803007	-0.0663096729196833	0.344378483009384	0.125186119098839	0.0994585307943847	0.268340886120501	0.327640164432924	-0.433951542164061	-0.228462536953088	0.0274325716971331	-0.0879516329137732	-0.222402239816517	-0.155147119948813
Mex_Highland	-0.0580955700949358	-0.175091353348626	0.107012752208722	-0.0839058483227417	-0.0264551024078761	-0.341398008924623	0.122565192542202	0.19528740252538	0.103390330842444	-0.0332635168026422	-0.00285049877840222	0.125896189284281	0.0226703216184919	-0.152413669096746	-0.125260422422446	0.274513536042822	0.220983915967397	-0.08782509648863
Mex_Highland	-0.0861667071902922	-0.0703715262491253	0.118020742935852	-0.162103579337876	-0.0447058045516324	-0.248631256246476	0.115712679874335	0.0698648540005426	-0.0497516267233605	0.0919449256792174	0.0522480056004954	0.128290373956932	0.186254908248452	0.274296664930083	0.0159164138097801	-0.127872070183918	0.111138368889761	0.303790796242832
Mex_Lowland	0.171920165839477	-0.300515773029909	0.197646970579926	-0.129102332330592	0.0155568539224518	-0.178281305301649	-0.151483053918291	-0.0123838248915525	-0.130992171486043	-0.393923984608103	-0.0334603425508277	-0.225433838117994	-0.236158109620053	0.00579169577548388	-0.135600011729956	0.0371758692848847	-0.220663026003634	0.0991187765570834
