sample	geoDis	latitude	longitude	country_name	state	region	site_name	elevation	countN	known	hetero	percpoly
SEEDGWAS143	1164.29994647	19.841513	-89.31613	Mexico	NA		BECANCHEN	72	402475	325511	11121	0.0341647440485882
SEEDGWAS1430	1035.50991704	14.418766	-91.3232	Central America	NA	SUCHITEPEQUEZ	LA COLONIA RIO BRAVO	185	365881	362105	12569	0.0347109263887546
SEEDGWAS1431	1096.32157546	14.28333333	-90.76666667	Central America	NA	ESCUINTLA	FINCA MONTE DE ORO(LA DEMOCRACIA)	284	372883	355103	16105	0.0453530384142066
SEEDGWAS1432	1149.55834194	14.94666	-89.963493	Central America	NA	EL PROGRESO	FINCA EL PALMO ACASAGUASTLAN	294	387528	340458	13474	0.0395761004294215
SEEDGWAS1434	1197.4715777	14.78333333	-89.55	Central America	NA	CHIQUIMULA	EL CALVARIO IPALA	423	303077	424909	16800	0.0395378775220106
SEEDGWAS1435	1091.13997008	15.092398	-90.487282	Central America	NA	BAJA VERAPAZ	CHISALVADOR RABINAL	963	336191	391795	16778	0.0428234153064741
SEEDGWAS1436	1214.6662168	14.624426	-89.438894	Central America	NA	CHIQUIMULA	BUENAVISTA QUEZALTEPEQUE	650	333130	394856	16375	0.0414708146767429
SEEDGWAS1437	1226.93179747	15.266667	-89.1	Central America	NA	IZABAL	LOS AMATES	92	259575	468411	26269	0.0560810911784736
SEEDGWAS1438	1097.94948303	14.279885	-90.751703	Central America	NA	ESCUINTLA	LOS ENCUENTROS	256	351243	376743	15015	0.0398547550983031
SEEDGWAS1439	1096.32157546	14.28333333	-90.76666667	Central America	NA	ESCUINTLA	HACIENDA SAN VICTOR	284	363391	364595	13786	0.0378118185932336
SEEDGWAS144	7240.85978085	-24.11666667	-49.33333333	South America	NA	SAO PAULO	FAZ. ISA ITARRARE	735	366406	361580	11678	0.032297140328558
SEEDGWAS1440	1096.32157546	14.28333333	-90.76666667	Central America	NA	ESCUINTLA	EL DULCE NOMBRE	284	365854	362132	14865	0.0410485679255078
SEEDGWAS1441	1094.24958641	14.112458	-90.868418	Central America	NA	ESCUINTLA	LA BUELTA DE LOS RAMIREZ CUYUTA	50	299539	428447	14493	0.0338268210537126
SEEDGWAS1442	2709.99285117	20.33333333	-74.5	Central America	NA	ORIENTE	BARACOA MERCADO	51	357871	370115	13377	0.0361428204747173
SEEDGWAS1443	2508.75003044	20.38333333	-76.43333333	Central America	NA	ORIENTE	JIGUANI	107	364712	363274	10168	0.0279898919273056
SEEDGWAS1457	7337.67320612	-22.45	-46.93333333	South America	NA	SAO PAULO	MOGI MIRIM	626	326981	401005	10944	0.0272914302814179
SEEDGWAS1458	7548.56361265	-28.920044	-49.457185	South America	NA	SANTA CATARINA	ARARANGUA	9	388741	339245	12229	0.03604769414435
SEEDGWAS1460	7129.36923249	-28.290932	-54.409057	South America	NA	RIO GRANDE DO SUL	BURITI	245	419947	308039	8620	0.0279834696255994
SEEDGWAS1463	355.452197924	16.11666667	-97.61666667	Mexico	NA		SAN PEDRO TUTUTEPEC	106	396193	331793	10807	0.0325715129613946
